[2025-11-24 18:22:43] REGISTRO → Robot 0
[2025-11-24 18:22:43] REGISTRO → Robot 1
[2025-11-24 18:22:43] REGISTRO → Robot 2
[2025-11-24 18:23:26] REGISTRO → Robot 0
[2025-11-24 18:23:26] REGISTRO → Robot 1
[2025-11-24 18:23:26] REGISTRO → Robot 2
[2025-11-24 18:23:44] REGISTRO → Robot 0
[2025-11-24 18:23:44] REGISTRO → Robot 1
[2025-11-24 18:23:44] REGISTRO → Robot 2
[2025-11-24 18:25:14] REGISTRO → Robot 0
[2025-11-24 18:25:14] REGISTRO → Robot 1
[2025-11-24 18:25:14] REGISTRO → Robot 2
[2025-11-24 18:25:15] ENVIADO → id=1, ang=0.0, dist=0.0, Out=1
[2025-11-24 18:26:40] REGISTRO → Robot 0
[2025-11-24 18:26:40] REGISTRO → Robot 1
[2025-11-24 18:26:40] REGISTRO → Robot 2
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-63.40571769996221, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=67.39504192900984, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-63.40571769996221, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=67.39504192900984, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-63.40571769996221, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=67.39504192900984, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-66.59569202123681, dist=0.6494000971232801, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=54.461625083996466, dist=0.6494000971232801, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-66.59569202123681, dist=0.6494000971232801, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=54.461625083996466, dist=0.6494000971232801, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-62.48361795525216, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=68.33246666686654, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-62.48361795525216, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=68.33246666686654, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-62.48361795525216, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=68.33246666686654, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-69.45545138138749, dist=0.6641690936918951, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=64.91440470453284, dist=0.6641690936918951, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-69.45545138138749, dist=0.6641690936918951, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=64.91440470453284, dist=0.6641690936918951, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-69.45545138138749, dist=0.6641690936918951, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=64.91440470453284, dist=0.6641690936918951, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
